Crypto Name,Coin,Price,24H Change,24H Volume,Market Cap
Bitcoin,BTC,"$17,278.44",+0.32%,$12.46 B,$331.1 B
Ethereum,ETH,"$1,283.73",+0.49%,$3.22 B,$155.37 B
Tether,USDT,$1.02,-0.13%,$15.94 B,$65.73 B
BNB,BNB,$292.29,+0.54%,$447.08 M,$46.09 B
USD Coin,USDC,$1.00,-0.03%,$1.23 B,$42.74 B
Binance USD,BUSD,$1.00,+0.14%,$3.81 B,$22.2 B
XRP,XRP,$0.3921,-0.47%,$336.39 M,$19.48 B
Dogecoin,DOGE,$0.09788,+0.43%,$239.76 M,$12.81 B
Cardano,ADA,$0.3169,+0.46%,$94.56 M,$10.77 B
Polygon,MATIC,$0.9213,-0.21%,$155.39 M,$7.94 B
Polkadot,DOT,$5.35,-0.30%,$96.47 M,$6.06 B
Dai,DAI,$1.01,-0.16%,$107.06 M,$5.88 B
Wrapped TRON,WTRX,$0.05481,+0.38%,"$616,341",$5.57 B
Litecoin,LTC,$77.96,-0.05%,$270.4 M,$5.48 B
TRON,TRX,$0.05487,-0.14%,$157.81 M,$5.05 B
Shiba Inu,SHIB,$0.000009359,-0.28%,$56.61 M,$5.04 B
HEX,HEX,$0.02887,+1.80%,$1.85 M,$5.01 B
Solana,SOL,$14.26,+0.57%,$109.49 M,$4.99 B
Uniswap,UNI,$6.19,-1.43%,$42.48 M,$4.63 B
Lido stETH,stETH,"$1,228.55",-0.54%,$3.73 M,$4.28 B
Avalanche,AVAX,$13.77,+0.76%,$91.71 M,$4.19 B
UNUS SED LEO,LEO,$3.75,+0.27%,$1.04 M,$3.58 B
Chainlink,LINK,$6.96,+0.27%,$137.48 M,$3.48 B
Wrapped Bitcoin,WBTC,"$17,367.20",+0.37%,$33.91 M,$3.43 B
Cosmos,ATOM,$10.14,+2.65%,$157.5 M,$2.85 B
Monero,XMR,$150.30,+0.94%,$52.92 M,$2.74 B
Ethereum Classic,ETC,$19.52,+0.55%,$71.82 M,$2.65 B
Toncoin,TON,$1.83,-0.65%,$31.32 M,$2.24 B
Stellar,XLM,$0.08665,+0.24%,$31.36 M,$2.19 B
Bitcoin Cash,BCH,$111.33,+0.17%,$92.64 M,$2.11 B
Algorand,ALGO,$0.2305,+1.01%,$39.67 M,$1.62 B
Cronos,CRO,$0.06499,+0.82%,$20.44 M,$1.62 B
ApeCoin,APE,$4.14,+4.34%,$144.42 M,$1.47 B
Filecoin,FIL,$4.48,-1.11%,$46.01 M,$1.47 B
Quant,QNT,$121.91,-2.57%,$17.73 M,$1.44 B
NEAR Protocol,NEAR,$1.74,+1.53%,$30.19 M,$1.43 B
VeChain,VET,$0.01976,+0.89%,$32.08 M,$1.39 B
OKB,OKB,$21.30,+0.13%,$14.71 M,$1.28 B
Internet Computer,ICP,$4.47,+0.47%,$12.86 M,$1.22 B
Hedera,HBAR,$0.05094,+0.72%,$11.05 M,$1.21 B
EOS,EOS,$1.05,-0.54%,$124.05 M,$1.11 B
Wrapped BNB,WBNB,$288.20,+0.69%,$36.18 M,$1.1 B
Elrond,EGLD,$45.96,+0.63%,$17.62 M,$1.08 B
Trust Wallet Token,TWT,$2.57,-1.11%,$41.83 M,$1.07 B
Flow,FLOW,$1.04,+0.16%,$25.3 M,$1.06 B
Luna Classic,LUNC,$0.000194,+0.05%,$50.78 M,$1.02 B
Frax,FRAX,$0.9983,+0.19%,$3.61 M,$1.02 B
Huobi Token,HT,$6.45,+0.63%,$8.95 M,$989.49 M
Pax Dollar,USDP,$1.00,-0.13%,"$764,830",$945.83 M
Chiliz,CHZ,$0.1519,+0.02%,$71.72 M,$915.76 M
